"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Lam M",GCST005141,2017-11-28,"Cell Rep","Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.","Cognitive ability (MTAG)","intelligence, self reported educational attainment",'-,"436124 European",'-,82,NA
"Smajlagić D",GCST007403,2018-10-31,"Brain Behav","Moderating effect of mode of delivery on the genetics of intelligence: Explorative genome-wide analyses in ALSPAC.","Verbal intelligence quotient (cesarean section interaction)","cesarean section, intelligence",'-,"2421 European",'-,4,NA
"Smajlagić D",GCST007404,2018-10-31,"Brain Behav","Moderating effect of mode of delivery on the genetics of intelligence: Explorative genome-wide analyses in ALSPAC.","Performance intelligence quotient (cesarean section interaction)","cesarean section, intelligence",'-,"2421 European",'-,2,NA
"Smajlagić D",GCST007405,2018-10-31,"Brain Behav","Moderating effect of mode of delivery on the genetics of intelligence: Explorative genome-wide analyses in ALSPAC.","Full scale intelligence quotient (cesarean section interaction)","cesarean section, intelligence",'-,"2421 European",'-,4,NA
"Liang X",GCST011153,2021-01-06,"Mol Brain","Evaluating the genetic effects of sex hormone traits on the development of mental traits: a polygenic score analysis and gene-environment-wide interaction study in UK Biobank cohort.","Testosterone levels x fluid intelligence interaction","intelligence, testosterone measurement",'-,"160121 European",'-,1,NA
"Liang X",GCST011148,2021-01-06,"Mol Brain","Evaluating the genetic effects of sex hormone traits on the development of mental traits: a polygenic score analysis and gene-environment-wide interaction study in UK Biobank cohort.","Bioavailable testosterone levels x fluid intelligence interaction","intelligence, testosterone measurement",'-,"160121 European",'-,0,NA
"Liang X",GCST011145,2021-01-06,"Mol Brain","Evaluating the genetic effects of sex hormone traits on the development of mental traits: a polygenic score analysis and gene-environment-wide interaction study in UK Biobank cohort.","Estradiol levels x fluid intelligence interaction","intelligence, estradiol measurement",'-,"73236 European",'-,0,NA
"Liang X",GCST011142,2021-01-06,"Mol Brain","Evaluating the genetic effects of sex hormone traits on the development of mental traits: a polygenic score analysis and gene-environment-wide interaction study in UK Biobank cohort.","Sex hormone-binding globulin levels x fluid intelligence interaction","intelligence, sex hormone-binding globulin measurement",'-,"160121 European",'-,0,NA
"Smeland OB",GCST007781,2019-01-04,"Mol Psychiatry","Genome-wide analysis reveals extensive genetic overlap between schizophrenia, bipolar disorder, and intelligence.","Bipolar disorder or intelligence (pleiotropy)","intelligence, obsolete_bipolar disorder",'-,"269867 NR51710 European",'-,0,NA
"Smeland OB",GCST007782,2019-01-04,"Mol Psychiatry","Genome-wide analysis reveals extensive genetic overlap between schizophrenia, bipolar disorder, and intelligence.","Schizophrenia or intelligence (pleiotropy)","schizophrenia, intelligence",'-,"82315 East Asian, European269867 NR",'-,0,NA
"Gialluisi A",GCST004402,2014-07-28,"Genes Brain Behav","Genome-wide screening for DNA variants associated with reading and language traits.","Reading disability or specific language impairment adjusted for intelligence quotient (pleiotropy)","intelligence, specific language impairment, dyslexia",'-,"1231 NR",'-,5,NA
"O'Connell KS",GCST012957,2019-11-29,"Biol Psychiatry","Identification of Genetic Loci Shared Between Attention-Deficit/Hyperactivity Disorder, Intelligence, and Educational Attainment.","Attention deficit hyperactivity disorder, intelligence or educational attainment (pleiotropy)","attention deficit hyperactivity disorder, intelligence, self reported educational attainment",'-,"1165659 European",'-,0,NA
"Lam M",GCST008595,2019-08-01,"Am J Hum Genet","Pleiotropic Meta-Analysis of Cognition, Education, and Schizophrenia Differentiates Roles of Early Neurodevelopmental and Adult Synaptic Pathways.","Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)","schizophrenia, intelligence, self reported educational attainment",'-,"436124 NR120552 European",'-,235,NA
"Rao S",GCST90134330,2022-06-28,Neuropsychobiology,"Genetic Relationships between Attention-Deficit/Hyperactivity Disorder, Autism Spectrum Disorder, and Intelligence.","Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)","attention deficit hyperactivity disorder, autism spectrum disorder, intelligence",'-,"371591 European",'-,486,NA
