"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Backman JD",GCST90077719,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42: prostate problem (not cancer)","prostate disease",'-,"151158 European",'-,0,"FTP Download"
"Backman JD",GCST90081704,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Prostate problem (not cancer) (Gene-based burden)","prostate disease",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90081705,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42: prostate problem (not cancer) (Gene-based burden)","prostate disease",'-,"151158 European",'-,0,"FTP Download"
"Nazarian A",GCST90101894,2022-01-03,"J Appl Genet","Genome-wide analysis of genetic predisposition to common polygenic cancers.","Prostate cancer","prostate cancer",'-,"6387 European",'-,3,NA
"Jiang L",GCST90043894,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 C61: Malignant neoplasm of prostate","prostate cancer",'-,"208808 European",'-,2,"FTP Download"
"Penney KL",GCST000844,2010-10-26,"Cancer Epidemiol Biomarkers Prev","Genome-wide association study of prostate cancer mortality.","Prostate cancer mortality","survival time, metastatic prostate cancer",'-,"564 European","655 European",0,NA
"Li W",GCST011827,2020-11-20,"Prostate Cancer Prostatic Dis","Genome-wide association study identifies a role for the progesterone receptor in benign prostatic hyperplasia risk.","Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,"6672 NR","167020 NR",0,NA
"Backman JD",GCST90081902,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Benign prostatic hypertrophy (Gene-based burden)","benign prostatic hyperplasia",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90081903,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: benign prostatic hypertrophy (Gene-based burden)","benign prostatic hyperplasia",'-,"151158 European",'-,0,"FTP Download"
"Backman JD",GCST90081803,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Enlarged prostate (Gene-based burden)","benign prostatic hyperplasia",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90081804,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: enlarged prostate (Gene-based burden)","benign prostatic hyperplasia",'-,"151158 European",'-,0,"FTP Download"
"Backman JD",GCST90080617,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,"172320 European",'-,0,"FTP Download"
"Jiang L",GCST90044257,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Hyperplasia of prostate (PheCode 600)","benign prostatic hyperplasia",'-,"208808 European",'-,0,"FTP Download"
"Hellwege JN",GCST008169,2019-04-15,"Sci Rep","Heritability and genome-wide association study of benign prostatic hyperplasia (BPH) in the eMERGE network.","Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,"1562 African unspecified, NR8857 European",'-,13,NA
"Backman JD",GCST90084603,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: Benign prostatic hyperplasia (Gene-based burden)","benign prostatic hyperplasia",'-,"172320 European",'-,0,"FTP Download"
"Backman JD",GCST90077817,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Enlarged prostate","benign prostatic hyperplasia",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90077916,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Benign prostatic hypertrophy","benign prostatic hyperplasia",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90077818,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: enlarged prostate","benign prostatic hyperplasia",'-,"151158 European",'-,0,"FTP Download"
"Backman JD",GCST90077917,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N40: benign prostatic hypertrophy","benign prostatic hyperplasia",'-,"151158 European",'-,0,"FTP Download"
"Jiang L",GCST90042670,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Illnesses of father: Prostate cancer (UKB data field 20107_13)","prostate cancer, family history",'-,"394258 European",'-,2,"FTP Download"
"Jiang L",GCST90042696,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Illnesses of siblings: Prostate cancer (UKB data field 20111_13)","prostate cancer, family history",'-,"356173 European",'-,0,"FTP Download"
"Jiang Y",GCST90096811,2021-11-19,"HGG Adv","Genetic Factors Associated with Prostate Cancer Conversion from Active Surveillance to Treatment.","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,"5222 European","425 European396 African unspecified237 Asian unspecified81 Hispanic or Latin American",14,NA
"Na R",GCST004638,2017-06-28,Prostate,"A genetic variant near GATA3 implicated in inherited susceptibility and etiology of benign prostatic hyperplasia (BPH) and lower urinary tract symptoms (LUTS).","Benign prostatic hyperplasia and/or lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,"3103 European1016 NR","960 European",1,NA
"Gudmundsson J",GCST007507,2018-11-08,"Nat Commun","Genome-wide associations for benign prostatic hyperplasia reveal a genetic correlation with serum levels of PSA.","Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,"301162 European",'-,23,NA
"Gudmundsson J",GCST007512,2018-11-08,"Nat Commun","Genome-wide associations for benign prostatic hyperplasia reveal a genetic correlation with serum levels of PSA.","Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,"295351 European",'-,22,NA
"Kohaar I",GCST011256,2020-04-14,Oncotarget,"Association of germline genetic variants with <i>TMPRSS2-ERG</i> fusion status in prostate cancer.","Prostate cancer","prostate carcinoma",'-,"216 African American or Afro-Caribbean105 European",'-,0,NA
"Oh JJ",GCST011535,2019-11-20,"Sci Rep","An exome-wide rare variant analysis of Korean men identifies three novel genes predisposing to prostate cancer.","Prostate cancer","prostate carcinoma",'-,"7258 East Asian",'-,2,NA
"Brandes N",GCST90027060,2021-07-21,"Sci Rep","Genetic association studies of alterations in protein function expose recessive effects on cancer predisposition.","Prostate cancer","prostate carcinoma",'-,"125644 European",'-,82,NA
"Eeles RA",GCST000488,2009-09-20,"Nat Genet","Identification of seven new prostate cancer susceptibility loci through a genome-wide association study.","Prostate cancer","prostate carcinoma",'-,"3748 European","38640 African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, East Asian",19,NA
"Gudmundsson J",GCST000489,2009-09-20,"Nat Genet","Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.","Prostate cancer","prostate carcinoma",'-,"37350 European","24193 European",8,NA
"Gudmundsson J",GCST000019,2007-04-01,"Nat Genet","Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.","Prostate cancer","prostate carcinoma",'-,"4517 European","3655 European745 African American or Afro-Caribbean",3,NA
"Murabito JM",GCST000095,2007-09-19,"BMC Med Genet","A genome-wide association study of breast and prostate cancer in the NHLBI's Framingham Heart Study.","Prostate cancer","prostate carcinoma",'-,"617 NR",'-,5,NA
"Gudmundsson J",GCST000153,2008-02-10,"Nat Genet","Common sequence variants on 2p15 and Xp11.22 confer susceptibility to prostate cancer.","Prostate cancer","prostate carcinoma",'-,"23226 European","15829 European",2,NA
"Thomas G",GCST000154,2008-02-10,"Nat Genet","Multiple loci identified in a genome-wide association study of prostate cancer.","Prostate cancer","prostate carcinoma",'-,"2329 European","7905 European",7,NA
"Duggan D",GCST000128,2007-12-19,"J Natl Cancer Inst","Two genome-wide association studies of aggressive prostate cancer implicate putative prostate tumor suppressor gene DAB2IP.","Prostate cancer","prostate carcinoma",'-,"2834 European","1603 European556 African American or Afro-Caribbean",0,NA
"Yeager M",GCST000017,2007-04-01,"Nat Genet","Genome-wide association study of prostate cancer identifies a second risk locus at 8q24.","Prostate cancer","prostate carcinoma",'-,"2329 European","6266 European",2,NA
"Cook MB",GCST002264,2013-11-02,"Hum Genet","A genome-wide association study of prostate cancer in West African men.","Prostate cancer","prostate carcinoma",'-,"932 Sub-Saharan African","10068 African American or Afro-Caribbean",0,NA
"Tao S",GCST001426,2012-02-26,"Hum Genet","Genome-wide two-locus epistasis scans in prostate cancer using two European populations.","Prostate cancer (SNP x SNP interaction)","prostate carcinoma",'-,"2277 NR","5136 European",0,NA
"Gudmundsson J",GCST000050,2007-07-01,"Nat Genet","Two variants on chromosome 17 confer prostate cancer risk, and the one in TCF2 protects against type 2 diabetes.","Prostate cancer","prostate carcinoma",'-,"12791 European","5050 European",2,NA
"Nam RK",GCST001338,2011-12-01,"Cancer Biol Ther","New variants at 10q26 and 15q21 are associated with aggressive prostate cancer in a genome-wide association study from a prostate biopsy screening cohort.","Prostate cancer","prostate carcinoma",'-,"545 NR","311 African unspecified129 Other189 Asian unspecified2810 European",2,NA
"Takata R",GCST000750,2010-08-01,"Nat Genet","Genome-wide association study identifies five new susceptibility loci for prostate cancer in the Japanese population.","Prostate cancer","prostate carcinoma",'-,"4969 East Asian","8416 East Asian",11,NA
"Amin Al Olama A",GCST001714,2012-10-12,"Hum Mol Genet","A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease.","Prostate cancer","prostate carcinoma",'-,"22548 European","49121 European",4,NA
"Shan J",GCST002024,2013-05-13,"J Transl Med","Genome scan study of prostate cancer in Arabs: identification of three genomic regions with multiple prostate cancer susceptibility loci in Tunisians.","Prostate cancer","prostate carcinoma",'-,"221 Greater Middle Eastern (Middle Eastern, North African or Persian)","438 Greater Middle Eastern (Middle Eastern, North African or Persian)",0,NA
"Eeles RA",GCST000152,2008-02-10,"Nat Genet","Multiple newly identified loci associated with prostate cancer susceptibility.","Prostate cancer","prostate carcinoma",'-,"3748 European","6634 European",12,NA
"Knipe DW",GCST002421,2014-04-21,"Cancer Epidemiol Biomarkers Prev","Genetic variation in prostate-specific antigen-detected prostate cancer and the effect of control selection on genetic association studies.","Prostate cancer","prostate carcinoma",'-,"2950 European","3291 European",6,NA
"Kote-Jarai Z",GCST001148,2011-07-10,"Nat Genet","Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.","Prostate cancer","prostate carcinoma",'-,"13560 European","12595 Other853 East Asian410 African American or Afro-Caribbean46191 European",9,NA
"Sun J",GCST000307,2009-01-01,"Cancer Res","Sequence variants at 22q13 are associated with prostate cancer risk.","Prostate cancer","prostate carcinoma",'-,"2834 European","4186 NR4636 European",1,NA
"Hoffmann TJ",GCST002944,2015-06-01,"Cancer Discov","A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.","Prostate cancer","prostate carcinoma",'-,"2251 African American or Afro-Caribbean37272 European3226 East Asian3629 Hispanic or Latin American","4679 African American or Afro-Caribbean7539 European",57,NA
"Wang M",GCST003148,2015-10-07,"Nat Commun","Large-scale association analysis in Asians identifies new susceptibility loci for prostate cancer.","Prostate cancer","prostate carcinoma",'-,"7394 East Asian","7524 East Asian",14,NA
"Teerlink CC",GCST003586,2016-06-04,"Hum Genet","Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.","Prostate cancer","prostate carcinoma",'-,"3893 European",'-,9,NA
"Conti DV",GCST011049,2021-01-04,"Nat Genet","Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.","Prostate cancer","prostate carcinoma",'-,"177526 European27420 East Asian7953 Hispanic or Latin American21354 African American or Afro-Caribbean, African unspecified",'-,264,NA
"Conti DV",GCST011048,2021-01-04,"Nat Genet","Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.","Prostate cancer","prostate carcinoma",'-,"177526 European","199969 European",64,NA
"Conti DV",GCST011047,2021-01-04,"Nat Genet","Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.","Prostate cancer","prostate carcinoma",'-,"21354 African American or Afro-Caribbean, African unspecified",'-,20,NA
"Conti DV",GCST011046,2021-01-04,"Nat Genet","Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.","Prostate cancer","prostate carcinoma",'-,"27420 East Asian",'-,48,NA
"Conti DV",GCST011045,2021-01-04,"Nat Genet","Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.","Prostate cancer","prostate carcinoma",'-,"7953 Hispanic or Latin American",'-,4,NA
"Rashkin SR",GCST90011808,2020-09-04,"Nat Commun","Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.","Prostate cancer","prostate carcinoma",'-,"421142 European",'-,65,"FTP Download"
"Sipeky C",GCST011829,2021-05-19,"Prostate Cancer Prostatic Dis","Novel prostate cancer susceptibility gene SP6 predisposes patients to aggressive disease.","Prostate cancer","prostate carcinoma",'-,"5138 European",'-,21,NA
"Fiorica PN",GCST90002423,2020-09-28,"PLoS One","Multi-ethnic transcriptome-wide association study of prostate cancer. ","Prostate cancer","prostate carcinoma",'-,"4769 African American or Afro-Caribbean",'-,2,"FTP Download"
"Fiorica PN",GCST90002424,2020-09-28,"PLoS One","Multi-ethnic transcriptome-wide association study of prostate cancer. ","Prostate cancer","prostate carcinoma",'-,"2199 East Asian",'-,4,"FTP Download"
"Fiorica PN",GCST90002425,2020-09-28,"PLoS One","Multi-ethnic transcriptome-wide association study of prostate cancer. ","Prostate cancer","prostate carcinoma",'-,"2147 Hispanic or Latin American",'-,1,"FTP Download"
"Ishigaki K",GCST90013706,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Prostate cancer","prostate carcinoma",'-,"109347 East Asian",'-,32,NA
"Conti DV",GCST004982,2017-08-01,"J Natl Cancer Inst","Two Novel Susceptibility Loci for Prostate Cancer in Men of African Ancestry.","Prostate cancer","prostate carcinoma",'-,"11782 African American or Afro-Caribbean8298 African unspecified, African American or Afro-Caribbean932 Sub-Saharan African",'-,2,NA
"Barnett GC",GCST002431,2014-04-28,"Radiother Oncol","A genome wide association study (GWAS) providing evidence of an association between common genetic variants and late radiotherapy toxicity.","Response to radiotherapy in cancer (late toxicity)","prostate carcinoma",'-,"1773 European","516 European1217 NR",10,NA
"Schumacher FR",GCST001147,2011-07-08,"Hum Mol Genet","Genome-wide association study identifies new prostate cancer susceptibility loci.","Prostate cancer","prostate carcinoma",'-,"7240 European","14090 European",14,NA
"Xu J",GCST001702,2012-09-30,"Nat Genet","Genome-wide association study in Chinese men identifies two new prostate cancer risk loci at 9q31.2 and 19q13.4.","Prostate cancer","prostate carcinoma",'-,"2425 East Asian","10993 East Asian",3,NA
"Jiang L",GCST90041905,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Cancer code, self-reported: prostate cancer (UKB data field 20001_1044)","prostate carcinoma",'-,"208768 European",'-,2,"FTP Download"
"Jiang L",GCST90041853,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Cancer of prostate (PheCode 185)","prostate carcinoma",'-,"208808 European",'-,2,"FTP Download"
"Takata R",GCST008860,2019-09-27,"Nat Commun","12 new susceptibility loci for prostate cancer identified by genome-wide association study in Japanese population.","Prostate cancer","prostate carcinoma",'-,"15770 East Asian","78079 East Asian",37,NA
"Schumacher FR",GCST006080,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer aggressiveness (high vs low)","prostate carcinoma",'-,"25300 European",'-,0,NA
"Schumacher FR",GCST006082,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer aggressiveness (high vs low/intermediate)","prostate carcinoma",'-,"58751 European",'-,0,NA
"Schumacher FR",GCST006081,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer (advanced vs non-advanced)","prostate carcinoma",'-,"76581 European",'-,0,NA
"Schumacher FR",GCST006083,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer (advanced)","prostate carcinoma",'-,"73475 European",'-,18,NA
"Schumacher FR",GCST006089,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer (early onset)","prostate carcinoma",'-,"51244 European",'-,11,NA
"Schumacher FR",GCST006084,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer (Gleason score)","prostate carcinoma",'-,"61978 European",'-,0,NA
"Schumacher FR",GCST006085,2018-06-11,"Nat Genet","Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.","Prostate cancer","prostate carcinoma",'-,"140254 European",'-,140,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Du Z",GCST008231,2019-06-21,"Int J Cancer","A Genome-wide Association Study of Prostate Cancer in Latinos.","Prostate cancer","prostate carcinoma",'-,"7953 Hispanic or Latin American",'-,3,NA
"Backman JD",GCST90081621,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Prostate cancer (UKB data field 20001) (Gene-based burden)","prostate carcinoma",'-,"39614 European",'-,0,"FTP Download"
"Emami NC",GCST011957,2020-12-08,"Cancer Res","A large-scale association study detects novel rare variants, risk genes, functional elements, and polygenic architecture of prostate cancer susceptibility.","Prostate cancer","prostate carcinoma",'-,"208253 European",'-,48,NA
"Backman JD",GCST90083098,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malignant neoplasm of prostate (UKB data field 40006) (Gene-based burden)","prostate carcinoma",'-,"33225 European",'-,0,"FTP Download"
"Backman JD",GCST90077635,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Prostate cancer (UKB data field 20001)","prostate carcinoma",'-,"39614 European",'-,1,"FTP Download"
"Backman JD",GCST90079112,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malignant neoplasm of prostate (UKB data field 40006)","prostate carcinoma",'-,"33225 European","124393 European",1,"FTP Download"
"Ahmed M",GCST90102439,2022-06-21,"Commun Biol","Considering hormone-sensitive cancers as a single disease in the UK biobank reveals shared aetiology.","Prostate cancer","prostate carcinoma",'-,"228850 European",'-,0,"FTP Download"
"Haiman CA",GCST001078,2011-05-22,"Nat Genet","Genome-wide association study of prostate cancer in men of African ancestry identifies a susceptibility locus at 17q21.","Prostate cancer","prostate carcinoma",'-,"6715 African American or Afro-Caribbean","3408 African American or Afro-Caribbean1705 Sub-Saharan African",1,NA
"Eeles RA",GCST001942,2013-04-01,"Nat Genet","Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.","Prostate cancer","prostate carcinoma",'-,"22548 European","39377 European",23,NA
"FitzGerald LM",GCST001028,2011-04-05,"Cancer Epidemiol Biomarkers Prev","Genome-wide association study identifies a genetic variant associated with risk for more aggressive prostate cancer.","Prostate cancer","prostate carcinoma",'-,"302 European","2289 European",0,NA
"Al Olama AA",GCST002606,2014-09-14,"Nat Genet","A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer.","Prostate cancer","prostate carcinoma",'-,"67543 European2080 Hispanic or Latin American10463 Sub-Saharan African, African American or Afro-Caribbean6954 East Asian",'-,41,NA
"Berndt SI",GCST002890,2015-05-05,"Nat Commun","Two susceptibility loci identified for prostate cancer aggressiveness.","Prostate cancer","prostate carcinoma",'-,"7541 European","15402 European",18,NA
"Gudmundsson J",GCST001719,2012-10-28,"Nat Genet","A study based on whole-genome sequencing yields a rare variant at 8q24 associated with prostate cancer.","Prostate cancer","prostate carcinoma",'-,"59585 European","13053 European",1,NA
"Cheng I",GCST001646,2012-08-24,"Cancer Epidemiol Biomarkers Prev","Evaluating genetic risk for prostate cancer among Japanese and Latinos.","Prostate cancer","prostate carcinoma",'-,"2075 East Asian2100 Hispanic or Latin American","5602 European4969 East Asian",8,NA
"Lange EM",GCST002413,2014-04-16,"PLoS One","Genome-wide association scan for variants associated with early-onset prostate cancer.","Prostate cancer (early onset)","prostate carcinoma",'-,"5051 European","3492 European",9,NA
"Du Z",GCST005786,2018-01-21,Prostate,"Genetic risk of prostate cancer in Ugandan men.","Prostate cancer","prostate carcinoma",'-,"1040 Sub-Saharan African",'-,25,NA
"Gudmundsson J",GCST007506,2018-11-08,"Nat Commun","Genome-wide associations for benign prostatic hyperplasia reveal a genetic correlation with serum levels of PSA.","Prostate cancer","prostate carcinoma",'-,"295892 European",'-,1,NA
"Sakaue S",GCST90018685,2021-09-30,"Nat Genet","A cross-population atlas of genetic associations for 220 human phenotypes.","Prostate cancer","prostate carcinoma",'-,"90332 East Asian",'-,23,"FTP Download"
"Sakaue S",GCST90018905,2021-09-30,"Nat Genet","A cross-population atlas of genetic associations for 220 human phenotypes.","Prostate cancer","prostate carcinoma",'-,"211227 European90332 East Asian",'-,59,"FTP Download"
"Ray D",GCST011320,2020-12-08,"PLoS Genet","A powerful method for pleiotropic analysis under composite null hypothesis identifies novel shared loci between Type 2 Diabetes and Prostate Cancer.","Type 2 diabetes or prostate cancer (pleiotropy)","prostate carcinoma, type 2 diabetes mellitus",'-,"801622 European",'-,43,NA
"Tao S",GCST001370,2012-01-04,Carcinogenesis,"A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.","Prostate cancer (SNP x SNP interaction)","genetic variation, prostate carcinoma",'-,"9515 European",'-,51,NA
"Szulkin R",GCST003100,2015-08-25,"Cancer Epidemiol Biomarkers Prev","Genome-wide association study of prostate cancer-specific survival.","Prostate cancer (survival)","survival time, prostate carcinoma",'-,"7322 NR","18197 European",4,NA
"Teerlink CC",GCST003585,2016-06-04,"Hum Genet","Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.","Aggressive prostate cancer","cancer aggressiveness measurement, prostate carcinoma",'-,"2511 European",'-,0,NA
"Li W",GCST008493,2018-07-07,"Eur Urol","Genome-wide Scan Identifies Role for AOX1 in Prostate Cancer Survival.","Prostate cancer mortality","survival time, prostate carcinoma",'-,"1053 European","1552 European",0,NA
"Xin J",GCST90141008,2022-08-10,"Nucleic Acids Res","SUMMER: a Mendelian randomization interactive server&nbsp;to systematically evaluate the causal effects of risk factors and circulating biomarkers on pan-cancer survival.","Overall survival in prostate cancer","prostate carcinoma, overall survival",'-,"4882 European",'-,0,NA
"Xin J",GCST90141025,2022-08-10,"Nucleic Acids Res","SUMMER: a Mendelian randomization interactive server&nbsp;to systematically evaluate the causal effects of risk factors and circulating biomarkers on pan-cancer survival.","Prostate cancer specific survival","survival time, prostate carcinoma",'-,"4882 European",'-,0,NA
"Kerns SL",GCST000824,2010-10-05,"Int J Radiat Oncol Biol Phys","Genome-wide association study to identify single nucleotide polymorphisms (SNPs) associated with the development of erectile dysfunction in African-American men after radiotherapy for prostate cancer.","Erectile dysfunction and prostate cancer treatment","response to radiation, prostate carcinoma, erectile dysfunction",'-,"79 African American or Afro-Caribbean",'-,23,NA
"Kerns SL",GCST001700,2012-09-26,"Int J Radiat Oncol Biol Phys","A 2-stage genome-wide association study to identify single nucleotide polymorphisms associated with development of erectile dysfunction following radiation therapy for prostate cancer.","Erectile dysfunction and prostate cancer treatment","response to radiation, prostate carcinoma, erectile dysfunction",'-,"235 African American or Afro-Caribbean, South Asian, European, East Asian, Hispanic or Latin American","230 African American or Afro-Caribbean, South Asian, European, East Asian",0,NA
"Berndt SI",GCST002886,2015-05-05,"Nat Commun","Two susceptibility loci identified for prostate cancer aggressiveness.","Prostate cancer aggressiveness","cancer aggressiveness measurement, Gleason score measurement, prostate carcinoma",'-,"4545 European","7973 European",3,NA
"Kar SP",GCST010797,2016-07-17,"Cancer Discov","Genome-Wide Meta-Analyses of Breast, Ovarian, and Prostate Cancer Association Studies Identify Multiple New Susceptibility Loci Shared by at Least Two Cancer Types.","Breast cancer, ovarian cancer or prostate cancer (pleiotropy)","prostate carcinoma, breast carcinoma, ovarian carcinoma",'-,"228770 European",'-,18,NA
