"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Morra A",GCST90029045,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER positive treated with endocrine therapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy",'-,"30137 European",'-,1,NA
"Morra A",GCST90029058,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","5-year breast cancer-specific survival (ER positive treated with endocrine therapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy",'-,"27340 European",'-,0,NA
"Khan S",GCST002903,2015-05-11,"Clin Cancer Res","Polymorphism at 19q13.41 Predicts Breast Cancer Survival Specifically after Endocrine Therapy.","Survival in breast cancer (estrogen-receptor positive)","survival time, estrogen-receptor positive breast cancer, breast carcinoma",'-,"639 European","3372 European",0,NA
"Khan S",GCST002901,2015-05-11,"Clin Cancer Res","Polymorphism at 19q13.41 Predicts Breast Cancer Survival Specifically after Endocrine Therapy.","Survival in endocrine treated breast cancer (estrogen-receptor positive)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy",'-,"1236 European","4723 European",1,NA
"Purrington KS",GCST002305,2013-12-09,Carcinogenesis,"Genome-wide association study identifies 25 known breast cancer susceptibility loci as risk factors for triple-negative breast cancer.","Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)","triple-negative breast cancer",'-,"4928 European","3457 European",5,NA
"Zhang H",GCST010100,2020-05-18,"Nat Genet","Genome-wide association study identifies 32 novel breast cancer susceptibility loci from overall and subtype-specific analyses.","Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)","triple-negative breast cancer",'-,"118987 European",'-,3,NA
"Lacson JCA",GCST007418,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (HER2 negative)","HER2 negative breast carcinoma",'-,"2242 NR",'-,0,NA
"Maguire S",GCST011526,2020-08-12,"J Natl Cancer Inst","Common susceptibility loci for male breast cancer.","Breast cancer (male)","male breast carcinoma",'-,"5000 European","1836 European",7,NA
"Orr N",GCST001690,2012-09-23,"Nat Genet","Genome-wide association study identifies a common variant in RAD51B associated with male breast cancer risk.","Breast cancer (male)","male breast carcinoma",'-,"3618 European","912 European",3,NA
"Morra A",GCST90029046,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER negative treated with chemotherapy)","estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent",'-,"6852 European",'-,1,NA
"Morra A",GCST90029059,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","5-year breast cancer-specific survival (ER negative treated with chemotherapy)","estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent",'-,"6411 European",'-,2,NA
"Khan S",GCST002902,2015-05-11,"Clin Cancer Res","Polymorphism at 19q13.41 Predicts Breast Cancer Survival Specifically after Endocrine Therapy.","Survival in breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer, survival time, breast carcinoma",'-,"597 European","1351 European",0,NA
"Lee JY",GCST006719,2018-10-15,"Sci Rep","BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.","BRCA1/2-negative high-risk breast cancer","BRCAX breast cancer",'-,"7448 East Asian",'-,19,"FTP Download"
"Fagerholm R",GCST004228,2017-03-14,Oncotarget,"TP53-based interaction analysis identifies cis-eQTL variants for TP53BP2, FBXO28, and FAM53A that associate with survival and treatment outcome in breast cancer.","Survival in TP53 positive breast cancer","overall survival, TP53 Positive Breast Carcinoma",'-,"157 European",'-,0,NA
"Rudolph A",GCST002266,2013-11-04,"Endocr Relat Cancer","Genetic modifiers of menopausal hormone replacement therapy and breast cancer risk: a genome-wide interaction study.","Lobular breast cancer (menopausal hormone therapy interaction)","invasive lobular carcinoma, hormone replacement therapy",'-,"541 European","9942 European",2,NA
"Lacson JCA",GCST007415,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (estrogen-receptor positive)","estrogen-receptor positive breast cancer",'-,"2635 NR",'-,2,NA
"Huo D",GCST003781,2016-09-04,"Hum Mol Genet","Genome-wide association studies in women of African ancestry identified 3q26.21 as a novel susceptibility locus for oestrogen receptor negative breast cancer.","Breast cancer (estrogen-receptor positive)","estrogen-receptor positive breast cancer",'-,"5945 African American or Afro-Caribbean723 Sub-Saharan African","4032 African American or Afro-Caribbean",1,NA
"Adedokun B",GCST90026462,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor positive)","estrogen-receptor positive breast cancer",'-,"14492 African unspecified175475 European",'-,3,NA
"Adedokun B",GCST90026465,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor positive)","estrogen-receptor positive breast cancer",'-,"14492 African unspecified",'-,0,NA
"Adedokun B",GCST90026468,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor positive)","estrogen-receptor positive breast cancer",'-,"175475 European",'-,0,NA
"Couch FJ",GCST003842,2016-04-27,"Nat Commun","Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"19291 European","49801 European",25,NA
"Lacson JCA",GCST007416,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"1522 NR",'-,0,NA
"Milne RL",GCST005076,2017-10-23,"Nat Genet","Identification of ten variants associated with risk of estrogen-receptor-negative breast cancer.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"72261 European","49801 European",46,NA
"Huo D",GCST003780,2016-09-04,"Hum Mol Genet","Genome-wide association studies in women of African ancestry identified 3q26.21 as a novel susceptibility locus for oestrogen receptor negative breast cancer.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"5499 African American or Afro-Caribbean666 Sub-Saharan African","3512 African American or Afro-Caribbean",2,NA
"Adedokun B",GCST90026463,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"12829 African unspecified127442 European",'-,3,NA
"Adedokun B",GCST90026466,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"12829 African unspecified",'-,0,NA
"Adedokun B",GCST90026469,2021-07-07,"Nat Commun","Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women.","Breast cancer (estrogen-receptor negative)","estrogen-receptor negative breast cancer",'-,"127442 European",'-,2,NA
"Fehringer G",GCST003588,2016-04-20,"Cancer Res","Cross-Cancer Genome-Wide Analysis of Lung, Ovary, Breast, Prostate, and Colorectal Cancer Reveals Novel Pleiotropic Associations.","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, obsolete_cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,"123671 European",'-,26,NA
"Fehringer G",GCST003587,2016-04-20,"Cancer Res","Cross-Cancer Genome-Wide Analysis of Lung, Ovary, Breast, Prostate, and Colorectal Cancer Reveals Novel Pleiotropic Associations.",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, obsolete_cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,"123671 European",'-,17,NA
"Khan S",GCST005901,2017-11-28,Oncotarget,"Meta-analysis of three genome-wide association studies identifies two loci that predict survival and treatment outcome in breast cancer.","Survival in breast cancer (estrogen-receptor positive)","event free survival time, estrogen-receptor positive breast cancer",'-,"2971 European165 NR",'-,2,NA
"Escala-Garcia M",GCST90061437,2021-10-05,"Sci Rep","Germline variants and breast cancer survival in patients with distant metastases at primary breast cancer diagnosis.","Breast cancer-specific survival (ER positive)","survival time, estrogen-receptor positive breast cancer",'-,"1062 European",'-,13,NA
"Zhu Q",GCST90104810,2022-03-23,"NPJ Breast Cancer","UACA locus is associated with breast cancer chemoresistance and survival.","Overall survival in ER positive breast cancer","overall survival, estrogen-receptor positive breast cancer",'-,"2407 European",'-,1,NA
"Zhu Q",GCST90104811,2022-03-23,"NPJ Breast Cancer","UACA locus is associated with breast cancer chemoresistance and survival.","Overall survival in ER positive breast cancer","overall survival, estrogen-receptor positive breast cancer",'-,"2407 European374 East Asian325 Hispanic or Latin American220 African American or Afro-Caribbean",'-,0,NA
"Wu X",GCST90134421,2022-07-01,"Am J Hum Genet","Investigating the shared genetic architecture of uterine leiomyoma and breast cancer: A genome-wide cross-trait analysis.","Uterine leiomyoma or ER positive breast cancer (pleiotropy)","Uterine leiomyoma, estrogen-receptor positive breast cancer",'-,"478454 European",'-,17,NA
"Escala-Garcia M",GCST90061438,2021-10-05,"Sci Rep","Germline variants and breast cancer survival in patients with distant metastases at primary breast cancer diagnosis.","Breast cancer-specific survival (ER negative)","estrogen-receptor negative breast cancer, survival time",'-,"1062 European",'-,28,NA
"Zhu Q",GCST90104812,2022-03-23,"NPJ Breast Cancer","UACA locus is associated with breast cancer chemoresistance and survival.","Overall survival in ER negative breast cancer","estrogen-receptor negative breast cancer, overall survival",'-,"393 European",'-,1,NA
"Zhu Q",GCST90104813,2022-03-23,"NPJ Breast Cancer","UACA locus is associated with breast cancer chemoresistance and survival.","Overall survival in ER negative breast cancer","estrogen-receptor negative breast cancer, overall survival",'-,"393 European76 East Asian67 Hispanic or Latin American109 African American or Afro-Caribbean",'-,0,NA
"Wu X",GCST90134422,2022-07-01,"Am J Hum Genet","Investigating the shared genetic architecture of uterine leiomyoma and breast cancer: A genome-wide cross-trait analysis.","Uterine leiomyoma or ER negative breast cancer (pleiotropy)","Uterine leiomyoma, estrogen-receptor negative breast cancer",'-,"430421 European",'-,14,NA
"Khan S",GCST005900,2017-11-28,Oncotarget,"Meta-analysis of three genome-wide association studies identifies two loci that predict survival and treatment outcome in breast cancer.","Survival in endocrine treated breast cancer (estrogen-receptor positive)","event free survival time, estrogen-receptor positive breast cancer, response to endocrine therapy",'-,"2629 European122 NR",'-,1,NA
"Li J",GCST000867,2010-11-09,"Breast Cancer Res","A genome-wide association scan on estrogen receptor-negative breast cancer.","Breast cancer (estrogen-receptor negative)","breast carcinoma",'-,"5200 European","8615 NR, European",0,NA
"Li J",GCST000811,2010-09-26,"Breast Cancer Res Treat","A combined analysis of genome-wide association studies in breast cancer.","Breast cancer","breast carcinoma",'-,"8428 European","14962 NR",4,NA
"Couch FJ",GCST001916,2013-03-27,"PLoS Genet","Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.","Breast Cancer in BRCA1 mutation carriers","breast carcinoma",'-,"2727 European","11964 European",6,NA
"Elgazzar S",GCST001667,2012-09-06,"J Hum Genet","A genome-wide association study identifies a genetic variant in the SIAH2 locus associated with hormonal receptor-positive breast cancer in Japanese.","Breast cancer","breast carcinoma",'-,"2902 East Asian","4450 East Asian",2,NA
"Song C",GCST001879,2013-02-28,"PLoS One","A genome-wide scan for breast cancer risk haplotypes among African American women.","Breast cancer","breast carcinoma",'-,"5761 African American or Afro-Caribbean",'-,13,NA
"Thomas G",GCST000365,2009-03-29,"Nat Genet","A multistage genome-wide association study in breast cancer identifies two new risk alleles at 1p11.2 and 14q24.1 (RAD51L1).","Breast cancer","breast carcinoma",'-,"2287 European","18282 European",6,NA
"Turnbull C",GCST000678,2010-05-09,"Nat Genet","Genome-wide association study identifies five new breast cancer susceptibility loci.","Breast cancer","breast carcinoma",'-,"8556 European","24799 European",13,NA
"Fletcher O",GCST000952,2011-01-24,"J Natl Cancer Inst","Novel breast cancer susceptibility locus at 9q31.2: results of a genome-wide association study.","Breast cancer","breast carcinoma",'-,"6346 European","18021 European",9,NA
"Rinella ES",GCST001831,2013-01-25,"Hum Genet","Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.","Breast cancer","breast carcinoma",'-,"1001 European","466 European",3,NA
"Murabito JM",GCST000079,2007-09-19,"BMC Med Genet","A genome-wide association study of breast and prostate cancer in the NHLBI's Framingham Heart Study.","Breast cancer","breast carcinoma",'-,"723 NR",'-,9,NA
"Stacey SN",GCST000037,2007-05-27,"Nat Genet","Common variants on chromosomes 2q35 and 16q12 confer susceptibility to estrogen receptor-positive breast cancer.","Breast cancer","breast carcinoma",'-,"13145 European","8921 European870 African American or Afro-Caribbean441 Other840 Hispanic or Latin American1126 East Asian",2,NA
"Kibriya MG",GCST000187,2008-05-08,"Breast Cancer Res Treat","A pilot genome-wide association study of early-onset breast cancer.","Breast cancer","breast carcinoma",'-,"6 Hispanic or Latin American52 European2 African American or Afro-Caribbean",'-,1,NA
"Gold B",GCST000162,2008-03-11,"Proc Natl Acad Sci U S A","Genome-wide association study provides evidence for a breast cancer risk locus at 6q22.33.","Breast cancer","breast carcinoma",'-,"548 European","2359 European",1,NA
"Easton DF",GCST000035,2007-05-27,Nature,"Genome-wide association study identifies novel breast cancer susceptibility loci.","Breast cancer","breast carcinoma",'-,"754 European","7928 East Asian48565 European",6,NA
"Long J",GCST001420,2012-02-23,"PLoS Genet","Genome-wide association study in east Asians identifies novel susceptibility loci for breast cancer.","Breast cancer","breast carcinoma",'-,"5242 East Asian","34455 East Asian",3,NA
"Cai Q",GCST001224,2011-09-09,"Hum Mol Genet","Genome-wide association study identifies breast cancer risk variant at 10q21.2: results from the Asia Breast Cancer Consortium.","Breast cancer","breast carcinoma",'-,"4128 East Asian","29968 East Asian",2,NA
"Rafiq S",GCST001816,2013-01-14,"Cancer Res","Identification of inherited genetic variations influencing prognosis in early-onset breast cancer.","Breast cancer (prognosis)","breast carcinoma",'-,"536 European","1516 European",5,NA
"Azzato EM",GCST000637,2010-03-23,"Cancer Epidemiol Biomarkers Prev","A genome-wide association study of prognosis in breast cancer.","Breast cancer (prognosis)","breast carcinoma",'-,"1145 NR","4335 European",0,NA
"Siddiq A",GCST001683,2012-09-13,"Hum Mol Genet","A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.","Breast cancer","breast carcinoma",'-,"32530 European3748 African American or Afro-Caribbean","914 East Asian6972 European1464 Hispanic or Latin American",4,NA
"Kim HC",GCST001457,2012-03-27,"Breast Cancer Res","A genome-wide association study identifies a breast cancer risk variant in ERBB4 at 2q34: results from the Seoul Breast Cancer Study.","Breast cancer","breast carcinoma",'-,"4325 East Asian","7894 East Asian",1,NA
"Michailidou K",GCST001937,2013-04-01,"Nat Genet","Large-scale genotyping identifies 41 new loci associated with breast cancer risk.","Breast cancer","breast carcinoma",'-,"22627 European","87170 European",63,NA
"Garcia-Closas M",GCST001930,2013-04-01,"Nat Genet","Genome-wide association studies identify four ER negative-specific breast cancer risk loci.","Breast cancer","breast carcinoma",'-,"39387 European","47969 European",17,NA
"Gaudet MM",GCST000846,2010-10-28,"PLoS Genet","Common genetic variants and modification of penetrance of BRCA2-associated breast cancer.","Breast cancer in BRCA2 mutation carriers","breast carcinoma",'-,"1703 European","2486 European",1,NA
"Stevens KN",GCST001489,2012-04-24,"Hum Mol Genet","Identification of a novel percent mammographic density locus at 12q24.","Percent mammographic density","breast carcinoma",'-,"1241 European","9126 European",1,NA
"Sehrawat B",GCST001012,2011-03-19,"Hum Genet","Potential novel candidate polymorphisms identified in genome-wide association study for breast cancer susceptibility.","Breast cancer","breast carcinoma",'-,"623 European","2368 European",2,NA
"Antoniou AC",GCST000801,2010-09-19,"Nat Genet","A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.","Breast cancer","breast carcinoma",'-,"2383 European","5986 European",1,NA
"Long J",GCST000709,2010-06-24,"PLoS Genet","Identification of a functional genetic variant at 16q12.1 for breast cancer risk: results from the Asia Breast Cancer Consortium.","Breast cancer","breast carcinoma",'-,"4157 East Asian","5459 European28152 East Asian",1,NA
"Low SK",GCST002234,2013-10-15,"PLoS One","Genome-wide association study of breast cancer in the Japanese population.","Breast cancer","breast carcinoma",'-,"4741 East Asian","6280 East Asian",4,NA
"Haiman CA",GCST001298,2011-10-30,"Nat Genet","A common variant at the TERT-CLPTM1L locus is associated with estrogen receptor-negative breast cancer.","Breast cancer","breast carcinoma",'-,"5388 European3749 African American or Afro-Caribbean","19193 European",1,NA
"Couch FJ",GCST003845,2016-04-27,"Nat Commun","Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.","Breast cancer","breast carcinoma",'-,"19291 European","65053 European",31,NA
"Han MR",GCST003520,2016-06-27,"Hum Mol Genet","Genome-wide association study in East Asians identifies two novel breast cancer susceptibility loci.","Breast cancer","breast carcinoma",'-,"13905 East Asian","15148 East Asian",8,NA
"Fejerman L",GCST002662,2014-10-20,"Nat Commun","Genome-wide association study of breast cancer in Latinas identifies novel protective variants on 6q25.","Breast cancer","breast carcinoma",'-,"4710 Hispanic or Latin American","6614 Hispanic or Latin American",2,NA
"Ahsan H",GCST002346,2014-02-03,"Cancer Epidemiol Biomarkers Prev","A genome-wide association study of early-onset breast cancer identifies PFKM as a novel breast cancer gene and supports a common genetic spectrum for breast cancer at any age.","Breast cancer (early onset)","breast carcinoma",'-,"6225 European","8945 European",18,NA
"Wang S",GCST010761,2019-06-27,"Int J Cancer","Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.","Breast cancer somatic mutation signature APOBEC C>T or C>G","breast carcinoma",'-,"974 African American or Afro-Caribbean, Asian unspecified, European","170 Sub-Saharan African",0,NA
"Wang S",GCST010760,2019-06-27,"Int J Cancer","Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.","Breast cancer somatic mutation signature APOBEC C>T","breast carcinoma",'-,"974 African American or Afro-Caribbean, Asian unspecified, European",'-,1,NA
"Wang S",GCST010759,2019-06-27,"Int J Cancer","Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.","Breast cancer somatic mutation signature APOBEC C>G","breast carcinoma",'-,"974 African American or Afro-Caribbean, Asian unspecified, European",'-,1,NA
"Wang S",GCST010758,2019-06-27,"Int J Cancer","Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.","Breast cancer somatic mutation signature Aging","breast carcinoma",'-,"974 African American or Afro-Caribbean, Asian unspecified, European",'-,0,NA
"Wang S",GCST010757,2019-06-27,"Int J Cancer","Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.","Breast cancer somatic mutation signature Homologous Recombination Deficiency","breast carcinoma",'-,"974 African American or Afro-Caribbean, Asian unspecified, European",'-,0,NA
"Gaudet MM",GCST007302,2013-03-27,"PLoS Genet","Identification of a BRCA2-specific modifier locus at 6p24 related to breast cancer risk.","Breast cancer in BRCA2 mutation carriers","breast carcinoma",'-,"8211 European",'-,5,NA
"Backman JD",GCST90079129,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Carcinoma in situ of breast (UKB data field 40006)","breast carcinoma",'-,"41005 European",'-,0,"FTP Download"
"Backman JD",GCST90083115,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Carcinoma in situ of breast (UKB data field 40006) (Gene-based burden)","breast carcinoma",'-,"41005 European",'-,0,"FTP Download"
"Backman JD",GCST90081612,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Breast cancer (UKB data field 20001) (Gene-based burden)","breast carcinoma",'-,"39614 European",'-,0,"FTP Download"
"Backman JD",GCST90077626,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Breast cancer (UKB data field 20001)","breast carcinoma",'-,"39614 European",'-,0,"FTP Download"
"Backman JD",GCST90083634,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 D05: Carcinoma in situ of breast (Gene-based burden)","breast carcinoma",'-,"211623 European",'-,0,"FTP Download"
"Backman JD",GCST90083633,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 D05.9: Unspecified type of carcinoma in situ of breast (Gene-based burden)","breast carcinoma",'-,"229134 European",'-,0,"FTP Download"
"Lacson JCA",GCST007414,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer","breast carcinoma",'-,"3014 NR",'-,0,NA
"Hoffman J",GCST006985,2019-01-14,"Breast Cancer Res","Identification of novel common breast cancer risk variants at the 6q25 locus&nbsp;among Latinas.","Breast cancer","breast carcinoma",'-,"8801 Hispanic or Latin American","NA European3992 Hispanic or Latin American5984 African American or Afro-Caribbean8719 East Asian3686 African unspecified, African American or Afro-Caribbean",0,NA
"Backman JD",GCST90079647,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 D05.9: Unspecified type of carcinoma in situ of breast","breast carcinoma",'-,"229134 European",'-,0,"FTP Download"
