"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Dai J",GCST008834,2019-07-17,"Lancet Respir Med","Identification of risk loci and a polygenic risk score for lung cancer: a large-scale prospective cohort study in Chinese populations.","Non-small cell lung cancer","non-small cell lung carcinoma",'-,"26655 East Asian27820 European",'-,28,NA
"Fusco JP",GCST005747,2018-05-15,"Cancer Med","Genomic characterization of individuals presenting extreme phenotypes of high and low risk to develop tobacco-induced lung cancer.","Non-small cell lung cancer in heavy smokers","non-small cell lung carcinoma","smoking behavior","95 European","133 European",0,NA
"Qin N",GCST012199,2020-09-05,"Front Med","Comprehensive functional annotation of susceptibility variants identifies genetic heterogeneity between lung adenocarcinoma and squamous cell carcinoma.","Non-small cell lung cancer","non-small cell lung carcinoma",'-,"26655 East Asian27820 European",'-,28,NA
"Jiang L",GCST90041821,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Cancer of bronchus; lung (PheCode 165.1)","lung cancer, bronchus cancer",'-,"456348 European",'-,0,"FTP Download"
"Zanetti KA",GCST003777,2016-05-13,"Lung Cancer","Genome-wide association study confirms lung cancer susceptibility loci on chromosomes 5p15 and 15q25 in an African-American population.","Squamous cell lung carcinoma","squamous cell lung carcinoma",'-,"4001 African American or Afro-Caribbean","1329 African American or Afro-Caribbean",0,NA
"McKay JD",GCST004750,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Squamous cell lung carcinoma","squamous cell lung carcinoma",'-,"63053 European",'-,101,"FTP Download"
"Dai J",GCST008835,2019-07-17,"Lancet Respir Med","Identification of risk loci and a polygenic risk score for lung cancer: a large-scale prospective cohort study in Chinese populations.","Squamous cell lung carcinoma","squamous cell lung carcinoma",'-,"18517 European17188 East Asian",'-,3,NA
"Qin N",GCST012200,2020-09-05,"Front Med","Comprehensive functional annotation of susceptibility variants identifies genetic heterogeneity between lung adenocarcinoma and squamous cell carcinoma.","Squamous cell lung carcinoma","squamous cell lung carcinoma",'-,"35705 East Asian, European",'-,13,NA
"Byun J",GCST90134663,2022-08-01,"Nat Genet","Cross-ancestry genome-wide meta-analysis of 61,047 cases and 947,237 controls identifies new susceptibility loci contributing to lung cancer.","Squamous cell lung carcinoma","squamous cell lung carcinoma",'-,"29280 European6664 East Asian4225 African American or Afro-Caribbean","366644 European17181 East Asian635 African American or Afro-Caribbean",9,NA
"Hsiung CA",GCST000761,2010-08-05,"PLoS Genet","The 5p15.33 locus is associated with risk of lung adenocarcinoma in never-smoking females in Asia.","Lung adenocarcinoma","lung adenocarcinoma",'-,"1169 East Asian","4699 East Asian",1,NA
"Galvan A",GCST000223,2008-08-26,"Int J Cancer","A polygenic model with common variants may predict lung adenocarcinoma risk in humans.","Lung adenocarcinoma","lung adenocarcinoma",'-,"1004 European",'-,0,NA
"Landi MT",GCST000506,2009-10-15,"Am J Hum Genet","A genome-wide association study of lung cancer identifies a region of chromosome 5p15 associated with risk for adenocarcinoma.","Lung adenocarcinoma","lung adenocarcinoma",'-,"11587 European","21379 European",5,NA
"Frullanti E",GCST000947,2011-01-17,"Clin Cancer Res","Multiple genetic loci modulate lung adenocarcinoma clinical staging.","Lung adenocarcinoma (clinical stage)","lung adenocarcinoma",'-,"600 European","317 European",0,NA
"Miki D",GCST000810,2010-09-26,"Nat Genet","Variation in TP63 is associated with lung adenocarcinoma susceptibility in Japanese and Korean populations.","Lung adenocarcinoma","lung adenocarcinoma",'-,"2904 East Asian","10242 East Asian",2,NA
"Shiraishi K",GCST001609,2012-07-15,"Nat Genet","A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.","Lung adenocarcinoma","lung adenocarcinoma",'-,"7028 East Asian","12536 East Asian",4,NA
"Zanetti KA",GCST003776,2016-05-13,"Lung Cancer","Genome-wide association study confirms lung cancer susceptibility loci on chromosomes 5p15 and 15q25 in an African-American population.","Lung adenocarcinoma","lung adenocarcinoma",'-,"4340 African American or Afro-Caribbean","1448 African American or Afro-Caribbean",1,NA
"Shiraishi K",GCST003605,2016-08-09,"Nat Commun","Association of variations in HLA class II and other loci with susceptibility to EGFR-mutated lung adenocarcinoma.","EGFR mutation-positive lung adenocarcinoma","lung adenocarcinoma",'-,"5030 East Asian","13301 East Asian",6,NA
"Wang Z",GCST003326,2016-01-04,"Hum Mol Genet","Meta-analysis of genome-wide association studies identifies multiple lung cancer susceptibility loci in never-smoking Asian women.",Adenocarcinoma,"lung adenocarcinoma",'-,"13154 East Asian","12924 East Asian",5,NA
"McKay JD",GCST004744,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Lung adenocarcinoma","lung adenocarcinoma",'-,"66756 European",'-,79,"FTP Download"
"Dai J",GCST008836,2019-07-17,"Lancet Respir Med","Identification of risk loci and a polygenic risk score for lung cancer: a large-scale prospective cohort study in Chinese populations.","Lung adenocarcinoma","lung adenocarcinoma",'-,"22090 East Asian20846 European",'-,19,NA
"Qin N",GCST012201,2020-09-05,"Front Med","Comprehensive functional annotation of susceptibility variants identifies genetic heterogeneity between lung adenocarcinoma and squamous cell carcinoma.","Lung adenocarcinoma","lung adenocarcinoma",'-,"42936 East Asian, European",'-,23,NA
"Hung RJ",GCST008375,2019-04-19,"J Thorac Oncol","Lung Cancer Risk in Never Smokers of European Descent is Associated with Genetic Variation in the 5P15.33 TERT-CLPTM1L Region.","Adenocarcinoma in never smokers","lung adenocarcinoma","smoking status measurement","7192 European","1612 European",1,NA
"Byun J",GCST90134662,2022-08-01,"Nat Genet","Cross-ancestry genome-wide meta-analysis of 61,047 cases and 947,237 controls identifies new susceptibility loci contributing to lung cancer.","Lung adenocarcinoma","lung adenocarcinoma",'-,"32964 European10002 East Asian4618 African American or Afro-Caribbean","439538 European22079 East Asian746 African American or Afro-Caribbean",17,NA
"Ji X",GCST006400,2018-08-13,"Nat Commun","Identification of susceptibility pathways for the role of chromosome 15q25.1 in modifying lung cancer risk.","Lung cancer in ever smokers","lung carcinoma","smoking status measurement","8669 European","26271 European",1,NA
"Ji X",GCST006398,2018-08-13,"Nat Commun","Identification of susceptibility pathways for the role of chromosome 15q25.1 in modifying lung cancer risk.","Lung cancer (SNP x SNP interaction)","lung carcinoma",'-,"10473 European",'-,25,NA
"Ji X",GCST006399,2018-08-13,"Nat Commun","Identification of susceptibility pathways for the role of chromosome 15q25.1 in modifying lung cancer risk.","Lung cancer","lung carcinoma",'-,"10473 European","32465 European",1,NA
"Hung RJ",GCST000170,2008-04-03,Nature,"A susceptibility locus for lung cancer maps to nicotinic acetylcholine receptor subunit genes on 15q25.","Lung cancer","lung carcinoma",'-,"4448 European, Other","6471 European, Other794 European",1,NA
"Spinola M",GCST000011,2007-01-16,"Cancer Lett","Genome-wide single nucleotide polymorphism analysis of lung cancer risk detects the KLF6 gene.","Lung cancer","lung carcinoma",'-,"673 European","621 European",0,NA
"Li Y",GCST000633,2010-03-19,"Lancet Oncol","Genetic variants and risk of lung cancer in never smokers: a genome-wide association study.","Lung cancer","lung carcinoma",'-,"26 Other728 European","1299 European219 Other",1,NA
"Amos CI",GCST000172,2008-04-03,"Nat Genet","Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.","Lung cancer","lung carcinoma",'-,"2291 European","6418 European",3,NA
"Hu Z",GCST001140,2011-07-03,"Nat Genet","A genome-wide association study identifies two new lung cancer susceptibility loci at 13q12.12 and 22q12.2 in Han Chinese.","Lung cancer","lung carcinoma",'-,"5408 East Asian","12722 East Asian",4,NA
"Lan Q",GCST001740,2012-11-11,"Nat Genet","Genome-wide association analysis identifies new lung cancer susceptibility loci in never-smoking women in Asia.","Lung cancer","lung carcinoma",'-,"10054 East Asian","4012 East Asian",7,NA
"McKay JD",GCST000256,2008-11-02,"Nat Genet","Lung cancer susceptibility locus at 5p15.33.","Lung cancer","lung carcinoma",'-,"6717 European","8472 European",2,NA
"Wang Y",GCST000257,2008-11-02,"Nat Genet","Common 5p15.33 and 6p21.33 variants influence lung cancer risk.","Lung cancer","lung carcinoma",'-,"10295 European","5431 European",3,NA
"Zanetti KA",GCST003775,2016-05-13,"Lung Cancer","Genome-wide association study confirms lung cancer susceptibility loci on chromosomes 5p15 and 15q25 in an African-American population.","Lung cancer","lung carcinoma",'-,"5339 African American or Afro-Caribbean","1662 African American or Afro-Caribbean",6,NA
"Backman JD",GCST90079088,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malignant neoplasm of bronchus and lung (UKB data field 40006)","lung carcinoma",'-,"74230 European",'-,0,"FTP Download"
"Backman JD",GCST90083074,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malignant neoplasm of bronchus and lung (UKB data field 40006) (Gene-based burden)","lung carcinoma",'-,"74230 European",'-,0,"FTP Download"
"Backman JD",GCST90083576,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34: Malignant neoplasm of bronchus and lung (Gene-based burden)","lung carcinoma",'-,"387874 European",'-,0,"FTP Download"
"Backman JD",GCST90083573,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.1: Malignant neoplasm of upper lobe, bronchus or lung (Gene-based burden)","lung carcinoma",'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90083574,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.3: Malignant neoplasm of lower lobe, bronchus or lung (Gene-based burden)","lung carcinoma",'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90083575,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.9: Malignant neoplasm of unspecified part of bronchus or lung (Gene-based burden)","lung carcinoma",'-,"387929 European",'-,0,"FTP Download"
"Backman JD",GCST90079590,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34: Malignant neoplasm of bronchus and lung","lung carcinoma",'-,"387874 European",'-,0,"FTP Download"
"Backman JD",GCST90079587,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.1: Malignant neoplasm of upper lobe, bronchus or lung","lung carcinoma",'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90079588,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.3: Malignant neoplasm of lower lobe, bronchus or lung","lung carcinoma",'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90079589,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 C34.9: Malignant neoplasm of unspecified part of bronchus or lung","lung carcinoma",'-,"387929 European",'-,0,"FTP Download"
"Dai J",GCST011656,2019-10-31,"Int J Cancer","Genome-wide association study of INDELs identified four novel susceptibility loci associated with lung cancer risk.","Lung cancer","lung carcinoma",'-,"36842 European5408 East Asian",'-,19,NA
"Wang LE",GCST001721,2012-10-29,"Cancer Res","Genome-wide association study reveals novel genetic determinants of DNA repair capacity in lung cancer.","Lung Cancer (DNA repair capacity)","lung carcinoma",'-,"1774 European","1374 European",2,NA
"Timofeeva MN",GCST001638,2012-08-16,"Hum Mol Genet","Influence of common genetic variation on lung cancer risk: meta-analysis of 14 900 cases and 29 485 controls.","Lung cancer","lung carcinoma",'-,"44385 European","5415 East Asian",1,NA
"Wang Z",GCST003325,2016-01-04,"Hum Mol Genet","Meta-analysis of genome-wide association studies identifies multiple lung cancer susceptibility loci in never-smoking Asian women.","Lung cancer","lung carcinoma",'-,"13154 East Asian","12924 East Asian",6,NA
"McKay JD",GCST004748,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Lung cancer","lung carcinoma",'-,"85716 European",'-,135,"FTP Download"
"McKay JD",GCST004749,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Lung cancer in ever smokers","lung carcinoma","smoking status measurement","40187 European",'-,111,"FTP Download"
"McKay JD",GCST004747,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Lung cancer in never smokers","lung carcinoma","smoking status measurement","9859 European",'-,23,"FTP Download"
"Liu P",GCST000233,2008-09-17,"J Natl Cancer Inst","Familial aggregation of common sequence variants on 15q24-25.1 in lung cancer.","Lung cancer","lung carcinoma",'-,"413 European","8709 NR",1,NA
"Chu M",GCST006866,2013-12-09,Carcinogenesis,"A genome-wide gene-gene interaction analysis identifies an epistatic gene pair for lung cancer susceptibility in Han Chinese.","Lung cancer (SNP x SNP interaction)","lung carcinoma",'-,"5408 East Asian","7984 East Asian",1,NA
"Ishigaki K",GCST90013703,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Lung cancer","lung carcinoma",'-,"212453 East Asian","2907 East Asian",1,NA
"Ishigaki K",GCST90013742,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Lung cancer","lung carcinoma",'-,"109347 East Asian",'-,0,NA
"Ishigaki K",GCST90013777,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Lung cancer","lung carcinoma",'-,"103106 East Asian",'-,1,NA
"Rashkin SR",GCST90011812,2020-09-04,"Nat Commun","Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.","Lung cancer","lung carcinoma",'-,"412835 European",'-,8,"FTP Download"
"Hung RJ",GCST008376,2019-04-19,"J Thorac Oncol","Lung Cancer Risk in Never Smokers of European Descent is Associated with Genetic Variation in the 5P15.33 TERT-CLPTM1L Region.","Lung cancer in never smokers","lung carcinoma","smoking status measurement","8031 European","1900 European",2,NA
"Broderick P",GCST000459,2009-08-04,"Cancer Res","Deciphering the impact of common genetic variation on lung cancer risk: a genome-wide association study.","Lung cancer","lung carcinoma",'-,"3390 European","6905 NR5470 European",7,NA
"Jiang L",GCST90041885,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Cancer code, self-reported: lung cancer (UKB data field 20001_1001)","lung carcinoma",'-,"456276 European",'-,0,"FTP Download"
"Jiang L",GCST90043863,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 C34.1: Malignant neoplasm of upper lobe, bronchus or lung","lung carcinoma",'-,"456348 European",'-,0,"FTP Download"
"Jiang L",GCST90043864,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 C34.3: Malignant neoplasm of lower lobe, bronchus or lung","lung carcinoma",'-,"456348 European",'-,0,"FTP Download"
"Jiang L",GCST90043865,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 C34.9: Malignant neoplasm of unspecified part of bronchus or lung","lung carcinoma",'-,"456348 European",'-,0,"FTP Download"
"Byun J",GCST90134661,2022-08-01,"Nat Genet","Cross-ancestry genome-wide meta-analysis of 61,047 cases and 947,237 controls identifies new susceptibility loci contributing to lung cancer.","Lung cancer","lung carcinoma",'-,"51961 European12434 East Asian5761 African American or Afro-Caribbean","910609 European26640 East Asian879 African American or Afro-Caribbean",16,NA
"Brandes N",GCST90027056,2021-07-21,"Sci Rep","Genetic association studies of alterations in protein function expose recessive effects on cancer predisposition.","Lung cancer","lung carcinoma",'-,"274830 European",'-,21,NA
"Sakaue S",GCST90018875,2021-09-30,"Nat Genet","A cross-population atlas of genetic associations for 220 human phenotypes.","Lung cancer","lung carcinoma",'-,"492803 European178726 East Asian",'-,11,"FTP Download"
"Sakaue S",GCST90018655,2021-09-30,"Nat Genet","A cross-population atlas of genetic associations for 220 human phenotypes.","Lung cancer","lung carcinoma",'-,"178726 East Asian",'-,8,"FTP Download"
"Sato Y",GCST000871,2010-11-12,"J Thorac Oncol","Genome-wide association study on overall survival of advanced non-small cell lung cancer patients treated with carboplatin and paclitaxel.","Non-small cell lung cancer (survival)","survival time, non-small cell lung carcinoma",'-,"105 East Asian",'-,3,NA
"Wu X",GCST002032,2013-05-23,"Cancer Res","Genome-wide association study of genetic predictors of overall survival for non-small cell lung cancer in never smokers.","Non-small cell lung cancer (survival)","survival time, non-small cell lung carcinoma",'-,"620 European","1256 East Asian",0,NA
"Li Y",GCST005910,2017-10-20,Carcinogenesis,"Genome-wide interaction study of smoking behavior and non-small cell lung cancer risk in Caucasian population.","Smoking interaction in non-small cell lung cancer (1df test)","smoking behavior, non-small cell lung carcinoma",'-,"13336 European",'-,0,NA
"Tang S",GCST002577,2014-08-22,"Ann Surg Oncol","Genome-wide association study of survival in early-stage non-small cell lung cancer.","Non-small cell lung cancer (survival)","survival time, non-small cell lung carcinoma",'-,"354 East Asian","327 East Asian",3,NA
"Shen S",GCST90014045,2021-05-17,"NPJ Precis Oncol","A multi-omics study links TNS3 and SEPT7 to long-term former smoking NSCLC survival.","Lung cancer prognosis in former smokers","non-small cell lung carcinoma, disease prognosis measurement","smoking status measurement","1299 European",'-,2,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"You D",GCST90132908,2022-06-06,"BMC Med","Associations of genetic risk, BMI trajectories, and the risk of non-small cell lung cancer: a population-based cohort study.","Non-small cell lung cancer x BMI trajectory interaction","longitudinal BMI measurement, non-small cell lung carcinoma",'-,"12202 European1065 African unspecified26 Hispanic or Latin American62 Asian unspecified10 NR",'-,4,NA
"Li Y",GCST005911,2017-10-20,Carcinogenesis,"Genome-wide interaction study of smoking behavior and non-small cell lung cancer risk in Caucasian population.","Smoking interaction in squamous cell lung cancer (1df test)","smoking behavior, squamous cell lung carcinoma",'-,"4529 European",'-,0,NA
"Byun J",GCST006088,2018-06-19,Carcinogenesis,"Genome-Wide Association Study of Familial Lung Cancer.","Familial squamous cell lung carcinoma","squamous cell lung carcinoma, family history of lung cancer",'-,"31930 European",'-,68,NA
"Li Y",GCST005909,2017-10-20,Carcinogenesis,"Genome-wide interaction study of smoking behavior and non-small cell lung cancer risk in Caucasian population.","Smoking interaction in lung adenocarcinoma (1df test)","smoking behavior, lung adenocarcinoma",'-,"7015 European",'-,0,NA
"Byun J",GCST006087,2018-06-19,Carcinogenesis,"Genome-Wide Association Study of Familial Lung Cancer.","Familial lung adenocarcinoma","lung adenocarcinoma, family history of lung cancer",'-,"32338 European",'-,36,NA
"Brhane Y",GCST011177,2020-07-22,"Cancer Epidemiol Biomarkers Prev","Genetic determinants of lung cancer prognosis in never smokers: A pooled analysis in the International Lung Cancer Consortium.","Lung adenocarcinoma (survival time) in never smokers","survival time, lung adenocarcinoma","smoking status measurement","1065 European","871 East Asian",8,NA
"Wei S",GCST001543,2012-05-27,Carcinogenesis,"Genome-wide gene-environment interaction analysis for asbestos exposure in lung cancer susceptibility.","Lung cancer (asbestos exposure interaction)","lung carcinoma, asbestos exposure measurement",'-,"2291 European",'-,2,NA
"Liu CY",GCST003049,2015-07-21,"Cancer Epidemiol Biomarkers Prev","Genome-wide Gene-Asbestos Exposure Interaction Association Study Identifies a Common Susceptibility Variant on 22q13.31 Associated with Lung Cancer Risk.","Lung cancer (asbestos exposure interaction)","lung carcinoma, asbestos exposure measurement",'-,"1572 European","5606 European",0,NA
"Zhang R",GCST002392,2014-03-22,Carcinogenesis,"A genome-wide gene-environment interaction analysis for tobacco smoke and lung cancer susceptibility.","Lung cancer (smoking interaction)","smoking status measurement, lung carcinoma",'-,"5408 East Asian","3023 East Asian",2,NA
"Hosgood HD 3rd",GCST002739,2015-01-08,"Hum Genet","Interactions between household air pollution and GWAS-identified lung cancer susceptibility markers in the Female Lung Cancer Consortium in Asia (FLCCA).","Lung cancer (household air pollution interaction)","lung carcinoma, household air pollution measurement",'-,"3080 Asian unspecified",'-,0,NA
"Poirier JG",GCST002753,2015-01-19,"Genet Epidemiol","Informed genome-wide association analysis with family history as a secondary phenotype identifies novel loci of lung cancer.","Lung cancer and family history of lung cancer","lung carcinoma, family history of lung cancer",'-,"8683 European",'-,0,NA
"Byun J",GCST006086,2018-06-19,Carcinogenesis,"Genome-Wide Association Study of Familial Lung Cancer.","Familial lung cancer","lung carcinoma, family history of lung cancer",'-,"35953 European",'-,20,NA
"Zuber V",GCST005267,2018-01-12,"Sci Rep","Identification of shared genetic variants between schizophrenia and lung cancer.","Schizophrenia or lung cancer (pleiotropy)","lung carcinoma, schizophrenia",'-,"103624 NR, European",'-,0,NA
"Rosenberger A",GCST006413,2018-07-03,"Int Arch Occup Environ Health","Genetic modifiers of radon-induced lung cancer risk: a genome-wide interaction study in former uranium miners.","Lung cancer x radon exposure interaction (1df)","lung carcinoma, radon exposure measurement",'-,"28599 European",'-,3,NA
"Brhane Y",GCST011178,2020-07-22,"Cancer Epidemiol Biomarkers Prev","Genetic determinants of lung cancer prognosis in never smokers: A pooled analysis in the International Lung Cancer Consortium.","Lung cancer (survival time) in never smokers","lung carcinoma, survival time","smoking status measurement","1569 European","887 East Asian",4,NA
"Xin J",GCST90141002,2022-08-10,"Nucleic Acids Res","SUMMER: a Mendelian randomization interactive server&nbsp;to systematically evaluate the causal effects of risk factors and circulating biomarkers on pan-cancer survival.","Overall survival in lung cancer","lung carcinoma, overall survival",'-,"1700 European",'-,0,NA
"Xin J",GCST90141019,2022-08-10,"Nucleic Acids Res","SUMMER: a Mendelian randomization interactive server&nbsp;to systematically evaluate the causal effects of risk factors and circulating biomarkers on pan-cancer survival.","Lung cancer specific survival","lung carcinoma, survival time",'-,"1700 European",'-,0,NA
"Chang IS",GCST003794,2016-09-26,"Am J Respir Crit Care Med","Genetic Modifiers of Progression-Free Survival in Never-Smoking Lung Adenocarcinoma Patients Treated with First-Line Tyrosine Kinase Inhibitors.","Progression free survival in EGFR-mutation-positive never-smoking lung adenocarcinoma treated with gefitinib or erlotinib","progression free survival, response to gefitinib, response to erlotinib, lung adenocarcinoma",'-,"128 East Asian","70 East Asian153 NR",0,NA
"Jin G",GCST001718,2012-10-25,"Am J Hum Genet","Genetic variants at 6p21.1 and 7p15.3 are associated with risk of multiple cancers in Han Chinese.","Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)","lung carcinoma, squamous cell carcinoma, gastric carcinoma",'-,"9374 East Asian","20437 East Asian",7,NA
